,song_id_from_src,dataset,title,artist,genre,arousal_mean,arousal_std,valence_mean,valence_std,emotion_4Q,emotion_2Q,lyrics,language,general_genre
2215,ML705,MoodyLyrics4Q,Gazebo Tree,Kristin Hersh,Alternative Rock,,,,,sad,negative,"That sky is a-shine with sheen Those eyes are a green machine Spare me your whining In my rainy gazebo tree  Deep in my silver pit The walls are all thick with it My, but you slay me In my rainy gazebo tree  Bless my baby eyes Don't you know Jesus died? I'm better off inside Strip and you lose your hide  What's in that Thermos, man? Your female's a garbage can So you haven't filled her up Okay, try to fill my cup It's moonshine from cactus Well, I guess it can't wreck us  Bless my baby eyes Don't you know Jesus died? I'm better off inside Strip and you lose your hide  Bless my baby eyes Don't you know Jesus died? Spare me your moon shining In my rainy gazebo tree In my rainy gazebo tree In my rainy gazebo tree",en,Rock
2499,ML989,MoodyLyrics4Q,Out of Mind,The Cure,Alternative Rock,,,,,angry,negative,I've been up for days And I feel like a menagerie I'm scratching till I bleed And I keep on seeing Imaginary lemurs In the street In the middle of the day But as long as I can breathe Then I know I'll be okay I'll be alright I'm out of mind I'm out of sight I'm out of sight  I've been up for days And I feel like a laboratory rat Inside a maze And I reel in the monotony of Screaming At the moon In the middle of the day But as long as I can see it Then I know I'll be okay I'll be fine I'm out of sight I'm completely out of mind Completely out of mind  Okay Alright Come and watch me shake tonight Mouth wide Soft and bright Bite my hand and scream Okay Alright Come and watch me break tonight Push deep Out of sight Bite my hand and hold on tight...,en,Rock
2189,ML679,MoodyLyrics4Q,Make Out Fall Out Make Up,Love Is All,Indie,,,,,sad,negative,"Records and clothes on the floor Remind me of the night before A pounding pain in my head I think I'll spend all day in bed A thousand cigarettes went nuts The stranger's hand in mine went white Smudged lipstick, feeling sick Make out, fall out, make up Make out, fall out, make up, fall out Dancing in the living room With light supplied by the moon Things I've said but shouldn't Tricks I've tried but couldn't Sorry if the music's too loud Now the air is thicker than the cloud Did I really call you I was looking for someone I knew Make out, fall out, make up, fall out Fall out (fades) Make up fall out!",en,Pop
3188,ML1678,MoodyLyrics4Q,I Kissed A Girl,Katy Perry,Pop,,,,,happy,positive,"[Verse 1] This was never the way I planned Not my intention I got so brave, drink in hand Lost my discretion It's not what I'm used to Just wanna try you on I'm curious for you Caught my attention  [Chorus] I kissed a girl and I liked it The taste of her cherry chapstick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it  [Verse 2] No, I don't even know your name It doesn't matter You're my experimental game Just human nature It's not what good girls do Not how they should behave My head gets so confused Hard to obey  [Chorus] I kissed a girl and I liked it The taste of her cherry chapstick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it  [Bridge] Us girls, we are so magical Soft skin, red lips, so kissable Hard to resist, so touchable Too good to deny it Ain't no big deal, it's innocent  [Chorus] I kissed a girl and I liked it The taste of her cherry chapstick I kissed a girl just to try it I hope my boyfriend don't mind it It felt so wrong, it felt so right Don't mean I'm in love tonight I kissed a girl and I liked it I liked it",en,Pop
1613,ML103,MoodyLyrics4Q,I Like to Move It,Reel 2 Real,Electronic,,,,,happy,positive,"[Hook] I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it!  [Bridge] “All girls all over the world! Original mad stuntman 'pon ya case man! I love how all the girls are move them body. And when ya move ya body, gonna move it nice and sweet, and sexy, 'right?”  [Verse 1] Woman, ya cute – and you don't need no make-up Original cute body, you a mek man mud up Woman, ya cute – and you don't need no make-up Original cute body, you a mek man mud up Woman! Physically fit, physically fit Physically, physically, physically Woman! Physically fit, physically fit Physically, physically, physically Woman, ya nice, sweet, fantastic! Big ship 'pon de ocean, that a big Titanic Woman, ya nice, sweet, energetic! Big ship 'pon de ocean, that a big Titanic Woman, ya nice, sweet, fantastic! Big ship 'pon de ocean, that a big Titanic Woman, ya nice, sweet, energetic! Big ship 'pon de ocean, that a big Titanic Woman!  [Hook] I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it!  [Interlude]  [Verse 2] Woman, ya cute – and you don't need no make-up Original cute body, you a mek man mud up Woman, ya cute – and you don't need no make-up Original cute body, you a mek man mud up Eyeliner – 'pon ya face a mek man mud up Nose powder – 'pon ya face a mek man mud up Pluck ya eyebrow – 'pon ya face a mek man mud up Gal ya lipstick – 'pon ya face a mek man mud up Woman, ya nice, broad face and ya nice hip Make man flip and bust them lip Woman, ya nice and energetic Big ship 'pon de ocean, that a big Titanic Woman, ya nice, broad face and ya nice hip Make man flip and bust them lip Woman, ya nice and energetic Big ship 'pon de ocean, that a big Titanic Woman!  [Hook] I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it! I like to move it, move it I like to move it, move it I like to move it, move it Ya like to move it!",en,Electronic
2429,ML919,MoodyLyrics4Q,Wind Below,Rage Against the Machine,Rap Metal,,,,,angry,negative,"[Verse 1] Flip this capital eclipse The vocal tone has got 'em sweating their own apocalypse Yes, rebel of the grains stand masterless The masked ones cap one,  NAFTA coming with the new disaster And yes, we in with the wind and the Plan de Ayala kin Coming back around again The slave driver saliva, one night, power turns Them devils mouths dry, now Mexico burns So here they come, one by one, them killers of the new frontier Occupy, causing fear, come on  [Chorus] With the wind below We in with the wind below With the wind below  [Verse 2] Flip this capital eclipse Them bury life wit' IMF shifts, and poison lips Yo, they talk it while slicing our veins, yo, so mark it From the FINCAS overseers to them vultures playing markets She ain't got nothing but weapon and shawl She is Chol, Tzotzil, Tojolobal, Tzeltal The tools are her tools,  Ejidos  and ovaries She was strangled, now through a barrel she breathes  [Chorus] She is the wind below The wind below She is the wind below  [Bridge] And all the shareholders gonna flex and try to annex the truth While the new trust is gonna flex and cast their image in you Yeah, all the shareholders gonna flex and try to annex the truth And while the new trust tries to flex and cast their image in you And GE is gonna flex and try and annex the truth And NBC is gonna flex and cast their image in you And Disney bought the fantasies and piles of eyes And ABC's new thrill rides of trials and lies And while the gut eaters strain to pull the mud from their mouths They force our ears to go deaf to the screams in the south, yeah  [Outro] But we in with the wind below But we in with the wind below But we in with the wind below",en,Metal
3161,ML1651,MoodyLyrics4Q,Tombigbee,Tori Amos,,,,,,angry,negative,"[Verse 1] To you it's another day, to me it's a grim reaping Just another shooting star strung out on your wire Prick my finger on his virgin silver He took me raw, ginger, caramelise me  [Chorus] Tombigbee, Tombigbee, help me hang these bones Gotta hang these bones out to dry He loved me, he loved me, ravishingly low Gonna hang these bones out to dry Dry, dry, dry  [Post-Chorus] Oh, you do it, man  [Verse 3] Got a blackberry stain and they're not even in season If you're not yet a woman you got no business playing this  [Chorus] Tombigbee, Tombigbee, help me hang these bones Gotta hang these bones out to dry He loved me, he loved me, ravishingly low Gonna hang these bones out to dry Dry, dry, dry  [Post-Chorus] Oh, you do it, man  [Bridge] So you get done, then you get some Sure enough, it won't hold you for long Then you say, ""Right. This is all mine."" But hasn't your donor card expired? From Blueridge to Cattail on the prairie From flyover country, back through Mississippi I said, ""Go, man, you go."" But you raise me twenty, I'm raising you five- Hundred treaties signed by your fathers' lies Go, man, you go 'Cause I'm trailing her tears The ones you won't hold You roll me a carpet, roll me a carpet, boy Roll me a carpet from here to Oklahoma  [Chorus] Tombigbee, Tombigbee, help me hang these bones Gotta hang these bones out to dry He loved me, he loved me, ravishingly low Gotta hang these bones out to dry Dry, dry, dry  [Outro] I'll do it again Dry, dry, dry",en,
2991,ML1481,MoodyLyrics4Q,Fragile Dreams,Anathema,Progressive Rock,,,,,sad,negative,"[Verse 1] Countless times I trusted you I let you back in Knowing, yearning I should have run, but I stayed  [Chorus] Maybe I always knew My fragile dreams would be broken for you  [Verse 2] Today I introduced myself To my own feelings In silent agony, after all these years They spoke to me after all these years  [Chorus] Maybe I always knew My fragile dreams would be broken for you",en,Rock
2461,ML951,MoodyLyrics4Q,The Great Pagoda Of Funn,Donald Fagen,Rock,,,,,relaxed,positive,The stars are bright tonight The air is sweet Though summer's over now There's a strange new music in the street  You and I Know the world can't be like this It's our love that makes it shine  Girl Whatever trouble waits outside these doors We're safe inside this house of light We make up our own storyline  Around the neighborhood They stare and grin As if they live their lives Just to help maintain the state we're in But when we fight Then those hungry wolves close in We're one thoughtless word away  From poison skies And severed heads And pain and lies So follow me I'll hold you tight And we'll build a life together In the great pagoda of funn  This magic soon will fade Without a doubt We'll have to work my love Just to keep the flame from going out Cause if we fail Then these walls will fall away And we'll find we're in the realm  Of psycho-moms And dying stars And dirty bombs Please follow me And hold me tight Yes we'll build a world together In the great pagoda of funn,en,Rock
1670,ML160,MoodyLyrics4Q,Save Your Scissors,City and Colour,Acoustic,,,,,relaxed,positive,So go on And I will refrain And I'll keep on running On this never ending race And maybe next time Will be the right time And maybe next time Will be your time So save your scissors For someone else's skin My surface is so tough I don't think the blade will dig in Save your strength Save your wasted time There's no way That I want you to be left behind Go on and save your scissors Save your scissors So why does it always seem That every time I turn around Somebody falls in love with me This has never been my sole intention And I have never claimed To have patents on such inventions Just save your scissors For someone elses skin My surface is so tough I don't think the blade will dig in Save your strength Save your wasted time There's no way That I want you to be left behind Go on and save your scissors Save your scissors There is something That I must confess To you tonight And that is I expect nothing less From you tonight Go on and save your scissors Save your scissors Save your scissors,en,Rock
2402,ML892,MoodyLyrics4Q,Mic Check,Rage Against the Machine,Rap Metal,,,,,angry,negative,"[Intro] Oh, wait a minute now Huh-huh Come on Oh, wait a minute now Check  [Verse 1] To the Young R to the E, the B to the E, the L Never give up, just live up Fed upon America, I'll be spittin' it up Rippin' it up for an even amount in each cup To my brothers' burning bare feet on black top Whose curled 'neath the shadows from the gaze of the cops Whose huntin' for 9 to 5's through factory locks Is now hunted on this modern day auction block  [Chorus] Mic check, ha ha ha I be the anti-myth rhythm rock shocker Mic check, ha ha ha ha I be the anti-myth rhythm rock shocker, what? Mic check, ha ha ha I be the anti-myth rhythm rock shocker Mic check, ha ha ha ha I be the anti-myth rhythm rock shocker, what?  [Interlude] Check, check, check, check, the check Oh, packin'  [Verse 2] Flexin' and mashin' with complex text Fast and in a fashion that snap back necks Quicker than a fed cash the company checks I be the ""Fire"" only Marley could catch Yes, I be the flame in the cellar, beware Nameless cold millions gaspin' for air The naked and wageless, scream within cages What, they make you pull your shit Just to get your share, what?  [Chorus] Mic check, ha ha ha I be the anti-myth rhythm rock shocker Mic check, ha ha ha ha I be the anti-myth rhythm rock shocker, what? Mic check, ha ha ha I be the anti-myth rhythm rock shocker Mic check, ha ha ha ha I be the anti-myth rhythm rock shocker, what?  [Interlude] We'll walk 'em down with the warrior's sound  [Bridge] With this mic device, I spit nonfiction (Fiction) ""Who got the power?"", this be my question (Question) The mass or the few in this torn nation? (Nation) The priest, the book, or the congregation? ('Gation) The politricks who rob and hold down your zone? (Zone) Or those who give the thieves the key to their homes? (Homes) The pig who's free to murder one Shucklak Or survivors who make a move and murder one back? With this mic device, I spit nonfiction ""Who got the power?"", this be my question The mass of the few in this torn nation? The priest, the book, or the congregation? The politricks who rob and hold down your zone? Or those who give the thieves the key to their homes? The pig who's free to murder one Shucklak Or survivors who make a move and murder one back?  [Chorus] Mic check, ha ha ha I be the anti-myth rhythm rock shocker Mic check, ha ha ha ha I be the anti-myth rhythm rock shocker, what? Mic check, ha ha ha I be the anti-myth rhythm rock shocker Mic check, ha ha ha ha I be the anti-myth rhythm rock shocker, what?",en,Metal
2728,ML1218,MoodyLyrics4Q,So Did We,Isis,Metal,,,,,sad,negative,"Our skin worn thin Our bones exposed Life reduced to ticks  From forest caves and azure skies We crashed upon this earth The years, they passed and so did we Yet, resistance would be formed",en,Metal
2154,ML644,MoodyLyrics4Q,Survival of the Fittest,Mobb Deep,Hip-Hop,,,,,angry,negative,"[Intro: Prodigy] Yeah, sendin' this one out To my man, Killer B No doubt indeed Where that weed? Nomsayin'? That old real shit  [Verse 1: Prodigy] There's a war goin' on outside no man is safe from You could run, but you can't hide forever From these streets that we done took You walkin' with your head down, scared to look You shook, ‘cause ain't no such things as halfway crooks They never around when the beef cooks in my part of town It's similar to Vietnam Now we all grown up and old, and beyond the cops' control They better have the riot gear ready Tryin' to bag me and get rocked steady By the MAC one-double, I touch you And leave you with not much to go home with My skin is thick, ‘cause I be up in the mix of action If I'm not at home, puffin' lye, relaxin' New York got a nigga depressed So I wear a slug-proof underneath my Guess God bless my soul Before I put my foot down and begin to stroll Into the drama I built And all unfinished beef, you will soon be killed Put us together, it's like mixin' vodka and milk I'm goin out blastin', takin' my enemies with me And if not, they scarred, so they will never forget me Lord, forgive me The Hennessy got me not knowin' how to act I'm fallin' and I can't turn back Or maybe it's the words from my man Killa Black That I can't say so it's left a untold fact Until my death, my goal's to stay alive Survival of the fit, only the strong survive  [Chorus: Havoc] Yo, yo, we livin' this 'til the day that we die Survival of the fit, only the strong survive (We still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive (Thug life, we still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive (We still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive  [Verse 2: Havoc] I'm trapped, in between two worlds, tryin' to get dough Y'know, when the dough get low the jewels go But never that, as long as fiends smoke crack I'll be on the block hustlin', countin' my stacks No doubt, watchin' my back and proceed with caution Five-oh lurkin', no time to get lost in the system Niggas usin' fake names to get out quick My brother did it and got bagged with two ounces I live a world where squads hit the block hard Ask my man Twin when he got bagged That fucked me up, God, but shit happens for a reason You find out who's your true peoples When you're upstate bleedin' You can't find a shorty to troop your bid with you Hit with a two to four is difficult Wild on the streets, I try to maintain Tight with my loot, ‘cause hoes like to run game Some niggas like to trick, but I ain't with that trickin' shit I'm like a Jew, savin' dough so I can big whip Pushin' a Lex, now I'm set, ready to jet No matter how much loot I get I'm stayin' in the projects forever Jakes on the blocks we out-clever If beef, we never separate and pull together When worse comes to worst, my peoples come first Try to react and get them motherfuckin' feelings hurt My crew's all about loot—fuck lookin' cute! I'm strictly Timb boots and Army certified suits Puffin L's, laid back, enjoyin' the smell In the Bridge, gettin' down, it ain't hard to tell You better realize  [Chorus: Mobb Deep] Yo, yo, we livin' this 'til the day that we die Survival of the fit, only the strong survive (We still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive (Thug life, we still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive (We still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive  [Outro: Prodigy] Open your eyes and get wise Look alive, in '95, word up Hypnotic thug life, get that ass paralyzed Nomsayin? Mobb Deep and all that",en,Hip-Hop
2633,ML1123,MoodyLyrics4Q,Car Chase City,Tenacious D,Rock,,,,,happy,positive,"[Verse] Car Chase City, that's the name of the game It was all groovy, now it's totally lame KG really fuckin' blew a synapse Now we're fucking headed for a total collapse Car Chase City, run away from the fuzz Though that we wasn't, but we totally was Car Chase City, now we're off of the map Car Chase City, now we're takin' a crap Now it's getting hairy, so we're changin' the key Never underestimate the power of D KG fuckin' put his foot on the gas If I go to prison, hide the pick in my ass Fuck this shit, it's gone too far Kage, pull over, let me out of the car Car Chase City, now we're taking the lane KG blew it, now we're goin' insane  [Chorus 1] Let's rock, let's roll Let me try to fill up your hole Let's rock, let's roll Car Chase City patrol  [Refrain] Car Chase City Car Chase City Car Chase City  [Chorus 2] Let's rock, let's roll, Car Chase City patrol Let's rock, let's roll, just a fuckin' rigamarole, uh  [Bridge] Pigs Speed TurboGas Brakes Spinnin' donuts, we're spinnin' donuts Roll Flip it Gas Nitro Go  [Chorus 3] Let's rock, let's roll, Car Chase City patrol Let's rock, let's roll, just a fuckin' rigamaroll, uh Let's rock, let's roll, Car Chase City patrol Let's rock, let's roll, rock your pussy over my soul  [Refrain] Car Chase City Car Chase City Car Chase City  [Outro] Host: Hey guys, you're running a little late There's one spot left. You got any new material? JB: What we got's gonna turn your brain to shit KG: Dust off the stage, Open Mic Host. Step aside",en,Rock
2693,ML1183,MoodyLyrics4Q,Year 3000,Busted,Pop-Rock,,,,,happy,positive,"[Verse 1] One day when I came home at lunchtime I heard a funny noise Went out to the back yard to find out If it was one of those rowdy boys Stood there was my neighbour called Peter And a flux capacitor  [Hook] He told me he built a time machine Like the one in a film I've seen Yeah, Yeah  [Chorus] He said ""I've been to the year 3000 Not much has changed But they lived underwater And your great, great, great granddaughter Is pretty fine""  Is pretty fine  [Verse 2] He took me to the future in the flux thing And I saw everything Boy bands, and another one, and another one And another one Triple breasted women swim around town Totally naked!  [Hook] We drove around in a time machine Like the one in a film I've seen Yeah, Yeah  [Chorus] He said I've been to the year 3000 Not much has changed But they lived underwater And your great, great, great granddaughter Is pretty fine Is pretty fine  [Bridge] I took a trip to the year 3000 This song had gone multi-platinum Everybody bought our seventh album It had outsold Michael Jackson I took a trip to the year 3000 This song had gone multi-platinum Everybody bought our seventh album Seventh album, seventh album...  [Hook] He told me he built a time machine Like the one in a film I've seen Yeah, Yeah  [Chorus] He said I've been to the year 3000 Not much has changed But they lived underwater And your great, great, great granddaughter (great granddaughter) Is pretty fine  She's pretty fine  Hey hey hey  [Chorus] He said I've been to the year 3000 Not much has changed But they lived underwater And your great, great, great granddaughter Is pretty fine  Oooooooohhhhhhhhh  [Chorus] He said ""I've been to the year 3000 Not much has changed But they lived underwater And your great, great, great granddaughter Is pretty fine"" She is pretty fine  [Outro] He said ""I've been to the year 3000 Not much has changed But they lived underwater And your great, great, great granddaughter Is pretty fine""",en,Pop
2855,ML1345,MoodyLyrics4Q,Bartender,Keri Noble,,,,,,sad,negative,"Bartender another And make it a double I can't go home I'm in some kind of trouble  What started so innocently Turned to sin And I can't get out I am too deep in  Have you ever had everything you'd ever wanted A good life, good friends and a loving companion Well take a hard look and pay real close attention I threw it all away with reckless abandon On a pair of caramel eyes I found out how quickly I'd learned to lie  Don't judge me til you've walked a mile in my shoes Things aren't always as they seem Cause being with him was like falling asleep Going home was like waking from some kind of dream The kind that you hope never ends But real life is not something I can suspend  Bartender another And make it a double I can't go home I'm in some kind of trouble  What started so innocently Turned to sin And I can't get out I am too deep  Too deep Too deep In",en,
3313,ML1803,MoodyLyrics4Q,Chicken Fried,Zac Brown Band,,,,,,happy,positive,"[Intro] You know I like my chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up  [Verse 1] Well I was raised up beneath the shade of a Georgia Pine And that's home you know Sweet tea, pecan pie, and homemade wine where the peaches grow And my house it's not much to talk about But it's filled with love that's grown in southern ground  [Chorus] And a little bit of chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love  [Verse 2] It's funny how it's the little things in life that mean the most Not where you live, what you drive, or the price tag on your clothes There's no dollar sign on a piece of mind This I've come to know So if you agree, have a drink with me Raise your glasses for a toast  [Chorus] To a little bit of chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love  [Interlude]  [Verse 3] I thank God for my life And for the stars and stripes May freedom forever fly, let it ring Salute the ones who died The ones that give their lives so we don't have to sacrifice All the things we love  [Chorus] Like our chicken fried And cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love Get your little chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've done seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love",en,
2967,ML1457,MoodyLyrics4Q,Creepy Crawler,Zombie Girl,,,,,,angry,negative,"There's something crawling There's something crawling in the dark I don't see it, but I know it's after me There's something lurking Oh, there's something lurking in the dark I don't see it, but I know it's here for me I don't feel it I'm not afraid of it 'Cause I'm as evil as can get Nothing's ever scared me yet Hey hey hey Creepy crawler What's wrong with you now You seem a little smaller Hey hey hey Creepy crawler Crawl back from where you came You're not worth a dollar There's something lurking Oh, there's something lurking in the dark I don't see it, but I know it's here for me There's something crawling There's something crawling in the dark I don't see it, but I know it's after me 'Cause I'm as evil as can get Nothing's ever scared me yet 'Cause I'm as evil as can get Nothing's ever scared me yet There's something lurking Oh, there's something lurking in the dark I don't see it, but I know it's here for me There's something crawling There's something crawling in the dark I don't see it, but I know it's after me Hey hey hey Creepy crawler What's wrong with you now You seem a little smaller Hey hey hey Creepy crawler Crawl back from where you came You're not worth a dollar Hey hey hey Creepy crawler What's wrong with you now You seem a little smaller Hey hey hey Creepy crawler Crawl back from where you came You're not worth a dollar Hey hey hey Creepy crawler Hey hey hey Creepy crawler Creepy crawler Creepy crawler Creepy crawler",en,
3347,ML1837,MoodyLyrics4Q,How Can I Tell You,Cat Stevens,Folk,,,,,relaxed,positive,"[Intro] Oh oh oh oh Oh oh oh  [Verse 1] How can I tell you That I love you I love you But I can’t think of right words to say  [Verse 2] And I long to tell you That I’m always thinking of you I’m always thinking of you But my words just blow away Just blow away  [Chorus] It always ends up to one thing, honey And I can’t think of right words to say Oh oh oh oh  [Verse 3] Wherever I am girl I’m always walking with you I’m always walking with you But I look and you’re not there  [Verse 4] And whoever I’m with I’m always, always talking to you I’m always talking to you And I’m sad that you can’t hear Sad that you can’t hear  [Chorus] It always ends up to one thing, honey When I look and you’re not there  [Verse 5] I need to know you Need to feel my arms around you Feel my arms around you Like a sea around a shore  [Verse 6] Each night and day I pray In hope that I might find you In hope that I might find you Because heart’s can do no more  [Chorus] It always ends up to one thing honey Still I kneel upon the floor  [Verse 1] How can I tell you That I love you I love you But I can’t think of right words to say  [Verse 2] I long to tell you That I’m always thinking of you I’m always thinking of you  [Chorus / Outro] It always ends up to one thing honey And I can’t think of right words to say Oh oh oh oh oh oh",en,Country
1568,ML58,MoodyLyrics4Q,Dirge Inferno,Cradle of Filth,Symphonic Metal,,,,,angry,negative,"Carrion my name For those who choose to mouth the curse A tragic serenade With Judas in my stride The Gothic halls of shame Where statues coldly hold no worse Than the murders I reclaim From a dark, forsaken time Kissing heaven, spent He wipes lips free of his hectic discharge Wishing to repent For the brute that ravaged free In slight hands beauty weeps Conquest's deep methodical screwing Hurt repeatedly Like the world wound at his feet Dirge Inferno As it is written, damn it So let it be wrung From throats of those in overthrow The past at last has come A savage bit without respite Pervades the freezing air This winter chill, grist for his mill If tears of joy will blear elsewhere And church bells drown in the cracks of doom The storms above us hew As lightning runs like bifurcate tongues Deflowering two by two Hissing, malcontent He storms the skies on electric discharge Pissing in contempt On the effigies of the weak Killing all resolve The great beast simmers, his scarlet women Spit their vitriol On the terrified face of peace Dirge Inferno As it is written, damn it So let it be wrung From throats of those in overthrow Our past at last has come A hellbound heart, the rose and thorn Have locked to hasten blood The moon disrobes, to harden droves Of legions pouring These rivers press, his breath adorns Senates and enemy seats Whilst his power takes as ingratitude The writhing of the weak ""Wormwood my name The poisoned star that fell to earth And blistered free of shame In the pits of self-rebirth Now those caves become a farret Overseeing endless barracks As the waters turn to claret And the Vatican satins burn",en,Metal
3201,ML1691,MoodyLyrics4Q,Who's Your Daddy?,Toby Keith,Country,,,,,happy,positive,"[Verse 1] Here you come knocking on my door baby Tell me what you got on your mind I guess those college boys all went home for the summertime And you’re looking right, looking good, looking like a woman should So why is it so hard to find A place to lay your pretty little head down once in a while  [Pre-Chorus 1] You run on a little tough luck baby Don’t you sweat it Everything is waiting inside for you You know I got it Come and get it  [Chorus] Who’s your daddy, who’s your baby? Who’s your buddy, who’s your friend? And who’s the one guy that you come running to When your love life starts tumbling? I got the money if you got the honey Let’s cut a deal let’s make a plan Who’s your daddy, who’s your baby? Who’s your buddy, who’s your man?  [Pre-Chorus 2] You might’ve run on a little tough luck baby Don’t you sweat it Everything is waiting inside for you You know I got it So come and get it  [Chorus] Who’s your daddy, who’s your baby? Who’s your buddy, who’s your man?",en,Country
2143,ML633,MoodyLyrics4Q,Heaven's Gonna Burn Your Eyes,Thievery Corporation,,,,,,relaxed,positive,[Verse 1] Do you applaud fear? Do you hold it near? Are you afraid to live your life? The way I perceive In my arms I'll catch you Do you mind If I always love you? Do you mind If I always love you? Do you mind If I always love you? Do you mind If I always love you?  [Hook] Heaven's gonna burn your eyes Heaven's gonna burn your eyes Heaven's gonna burn your eyes Heaven's gonna burn your eyes  [Verse 2] You'll see In my dream I'll catch you Into my arms I'll catch you Do you mind if I always love you? Do you mind if I always love you?  [Hook] Heaven's gonna burn your eyes Heaven's gonna burn your eyes Heaven's gonna burn your eyes,en,
2128,ML618,MoodyLyrics4Q,Flexin',Shop Boyz,,,,,,happy,positive,"Big wheels on rims, I'm flexin New chain around my neck, I'm flexin Got dough you can check, I'm flexin matter of fact I'm big boy flexin. [x2] Big car, big shoes and a big booty bitch. (oh) One hand on my wheel just to see my jewelry glitz. (uh-huh) All my fingas and wrist. (yeah) Never would've thought I would live like this Drive toyota and a honda and no other in the streets. (ahh) Like D4L, betcha can't do it like me I'm a stunna They will tell you how it is, this is shop boys summer. (yeah)  [Chorus:] Big wheels on rims, I'm flexin New chain around my neck, I'm flexin Got dough you can check, I'm flexin matter of fact I'm big boy flexin. [x2] Big rims my tires is flat. (yeah) New benz outside and black. (yeah) Killas like I admire that. (ok) New orange cutless like a fire-hat. (c'mon, yeah) I stunt I deserve a plant. (ok) Gimme a track, I murda that. (yeah) Take your girl then work her back When it comes to the flix then I don't slack. (uh-uhh) Cellphones same price as rent. (yeah) Get stupid, then it's on my bed I'm off the chain, you tied to the fence My angel feels like this turbulance. (whoo) I'm bout to freeze I need a coat. (yeah) Your ice is a measly joke. (yeah) I pray, yeah I need to boast I'm big flexin from coast to coast. (whoa)  [Chorus:] Big wheels on rims, I'm flexin New chain around my neck, I'm flexin Got dough you can check, I'm flexin matter of fact I'm big boy flexin. [x2] I'm a money go getta, keep money. (keep money) $50 thousand around my neck like Johnny. (like Johnny) My car sit way in the sky. (sky) Future mission, man I think its gonna fly. (fly) Spent bout $450 on the shoes My parents say I don't mean to be rude. (nah) I think I need protection. (yeah) Gettin money I'm big boy flexin  [Chorus:] Big wheels on rims, I'm flexin New chain around my neck, I'm flexin Got dough you can check, I'm flexin matter of fact I'm big boy flexin. [x4]",en,
2344,ML834,MoodyLyrics4Q,"Keep It Loose, Keep It Tight",Amos Lee,Soul,,,,,relaxed,positive,"Well I walked over the bridge Into the city where I live And I saw my old landlord Well we both said, ""Hello"" There was no where else to go 'Cause his rent I couldn't afford  Well relationships change Though I think its kind of strange How money makes a man grow Ah, some people they claim If you get enough fame You live over the rainbow, over the rainbow  But the people on the street Out on buses or on feet We all got the same blood flow Oh in society every dollar got a deed We all need a place that we can go And feel over the rainbow  Sometimes we forget what we got Who we are or who we are not I think we got a chance to make it right Keep it loose, keep it tight, keep it tight  I'm in love with a girl who's in love with the world Though I cant help but follow Though I know someday she is bound to go away And stay over the rainbow Got to learn how to let her go Over the rainbow  But sometimes we forget who we got Who they are or who they are not There is so much more in love than black and white Keep it loose child, gotta keep tight Keep it loose, keep it tight, keep it tight Keep it tight, yeah",en,Jazz
